,Options,"Using seed","Parsing Time","Setup Time","First Node Time","Initial Propagate","First node time",Sol,"Solution Number",Time,Nodes,"Solve Time","Total Time","Total System Time","Total Wall Time","Maximum RSS (kB)","Total Nodes","Problem solvable?","Solutions Found"
Undefined,,N/A," 0.001207"," 0.000441"," 0.000245"," 0.000250"," 0.000069"," 0"," 1",0.001502," 277"," 0.040461"," 0.042425"," 0.000000"," 0.042423"," 10316"," 277"," yes"," 1"
Undefined,"-preprocess GAC ",N/A," 0.001072"," 0.000456"," 0.000260"," 0.000264"," 0.000081"," 0"," 1",0.001610," 277"," 0.041221"," 0.043091"," 0.000000"," 0.043139"," 10316"," 277"," yes"," 1"
Undefined,"-preprocess SAC ",N/A," 0.001054"," 0.000456"," 0.000262"," 0.000266"," 0.000518"," 0"," 1",0.001542," 277"," 0.041274"," 0.043566"," 0.000000"," 0.043581"," 10312"," 277"," yes"," 1"
Undefined,"-preprocess SACBounds ",N/A," 0.001160"," 0.000470"," 0.000275"," 0.000281"," 0.000532"," 0"," 1",0.001620," 277"," 0.041688"," 0.044129"," 0.000000"," 0.044136"," 10312"," 277"," yes"," 1"
Undefined,"-varorder sdf ",N/A," 0.001047"," 0.000471"," 0.000294"," 0.000299"," 0.000090"," 0"," 1",0.001583," 277"," 0.041945"," 0.043849"," 0.000000"," 0.043895"," 10316"," 277"," yes"," 1"
Undefined,"-varorder sdf -preprocess GAC ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.000000," 277"," 0.041007"," 0.041005"," 0.003875"," 0.044926"," 10312"," 277"," yes"," 1"
Undefined,"-varorder sdf -preprocess SAC ",N/A," 0.001185"," 0.000512"," 0.000295"," 0.000300"," 0.000545"," 0"," 1",0.001561," 277"," 0.041063"," 0.043603"," 0.000000"," 0.043601"," 10312"," 277"," yes"," 1"
Undefined,"-varorder sdf -preprocess SACBounds ",N/A," 0.001055"," 0.000000"," -0.000000"," 0.000000"," 0.000000"," 0"," 1",-0.000000," 277"," 0.042078"," 0.043131"," 0.003951"," 0.047089"," 10316"," 277"," yes"," 1"
Undefined,"-varorder srf ",N/A," 0.001150"," 0.000465"," 0.000250"," 0.000255"," 0.000068"," 0"," 1",0.001771," 277"," 0.040998"," 0.042934"," 0.000000"," 0.042941"," 10312"," 277"," yes"," 1"
Undefined,"-varorder srf -preprocess GAC ",N/A," 0.001070"," 0.000468"," 0.000267"," 0.000273"," 0.000068"," 0"," 1",0.001747," 277"," 0.040993"," 0.042869"," 0.000000"," 0.042880"," 10316"," 277"," yes"," 1"
Undefined,"-varorder srf -preprocess SAC ",N/A," 0.000001"," 0.000000"," -0.000000"," 0.000000"," 0.000000"," 0"," 1",-0.000000," 277"," 0.037139"," 0.037139"," 0.007480"," 0.044628"," 10312"," 277"," yes"," 1"
Undefined,"-varorder srf -preprocess SACBounds ",N/A," 0.000001"," 0.000000"," -0.000000"," 0.000000"," 0.000000"," 0"," 1",0.002123," 277"," 0.042862"," 0.042861"," 0.003923"," 0.046782"," 10312"," 277"," yes"," 1"
Undefined,"-varorder static ",N/A," 0.001080"," 0.000453"," 0.000250"," 0.000255"," 0.000068"," 0"," 1",0.001507," 277"," 0.040662"," 0.042515"," 0.000000"," 0.042532"," 10312"," 277"," yes"," 1"
Undefined,"-varorder static -preprocess GAC ",N/A," 0.001106"," 0.000494"," -0.000000"," 0.000000"," 0.000000"," 0"," 1",-0.000000," 277"," 0.037145"," 0.038743"," 0.003904"," 0.042655"," 10312"," 277"," yes"," 1"
Undefined,"-varorder static -preprocess SAC ",N/A," 0.001111"," 0.000454"," 0.000250"," 0.000255"," 0.000519"," 0"," 1",0.001504," 277"," 0.036127"," 0.038464"," 0.003874"," 0.042344"," 10312"," 277"," yes"," 1"
Undefined,"-varorder static -preprocess SACBounds ",N/A," 0.001143"," 0.000462"," 0.000249"," 0.000254"," 0.000518"," 0"," 1",0.001595," 277"," 0.042644"," 0.045018"," 0.000000"," 0.045043"," 10312"," 277"," yes"," 1"
