,Options,"Using seed","Parsing Time","Setup Time","First Node Time","Initial Propagate","First node time",Sol,"Solution Number",Time,Nodes,"Solve Time","Total Time","Total System Time","Total Wall Time","Maximum RSS (kB)","Total Nodes","Problem solvable?","Solutions Found"
Undefined,,N/A," 0.001846"," 0.000557"," 0.000309"," 0.000315"," 0.000078"," 0"," 1",0.000637," 95"," 0.040622"," 0.043416"," 0.000000"," 0.043469"," 10716"," 95"," yes"," 1"
Undefined,"-preprocess GAC ",N/A," 0.001085"," 0.000474"," 0.000275"," 0.000280"," 0.000068"," 0"," 1",0.000545," 95"," 0.041537"," 0.043442"," 0.000000"," 0.043499"," 10716"," 95"," yes"," 1"
Undefined,"-preprocess SAC ",N/A," 0.001082"," 0.000465"," 0.000298"," 0.000303"," 0.000557"," 0"," 1",0.000570," 95"," 0.041218"," 0.043623"," 0.000000"," 0.043621"," 10720"," 95"," yes"," 1"
Undefined,"-preprocess SACBounds ",N/A," 0.001159"," 0.000498"," 0.000405"," 0.000416"," 0.000634"," 0"," 1",0.000592," 95"," 0.041220"," 0.043924"," 0.000000"," 0.043970"," 10720"," 95"," yes"," 1"
Undefined,"-varorder sdf ",N/A," 0.001090"," 0.000485"," 0.000296"," 0.000301"," 0.000070"," 0"," 1",0.000575," 95"," 0.037539"," 0.039483"," 0.003975"," 0.043456"," 10716"," 95"," yes"," 1"
Undefined,"-varorder sdf -preprocess GAC ",N/A," 0.001106"," 0.000499"," 0.000266"," 0.000270"," 0.000067"," 0"," 1",0.000550," 95"," 0.044243"," 0.046182"," 0.000000"," 0.046216"," 10716"," 95"," yes"," 1"
Undefined,"-varorder sdf -preprocess SAC ",N/A," 0.000006"," 0.000000"," -0.000000"," 0.000000"," 0.000000"," 0"," 1",-0.000000," 95"," 0.039601"," 0.039605"," 0.003988"," 0.043611"," 10716"," 95"," yes"," 1"
Undefined,"-varorder sdf -preprocess SACBounds ",N/A," 0.001241"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.000000," 95"," 0.038133"," 0.039372"," 0.003964"," 0.043362"," 10720"," 95"," yes"," 1"
Undefined,"-varorder srf ",N/A," 0.001069"," 0.000456"," 0.000265"," 0.000270"," 0.000067"," 0"," 1",0.000615," 95"," 0.040052"," 0.041911"," 0.000000"," 0.041938"," 10720"," 95"," yes"," 1"
Undefined,"-varorder srf -preprocess GAC ",N/A," 0.001185"," 0.000455"," 0.000281"," 0.000285"," 0.000086"," 0"," 1",0.000624," 95"," 0.040613"," 0.042622"," 0.000000"," 0.042661"," 10716"," 95"," yes"," 1"
Undefined,"-varorder srf -preprocess SAC ",N/A," 0.001230"," 0.000495"," 0.000279"," 0.000284"," 0.000578"," 0"," 1",0.000619," 95"," 0.041571"," 0.044155"," 0.000000"," 0.044154"," 10720"," 95"," yes"," 1"
Undefined,"-varorder srf -preprocess SACBounds ",N/A," 0.001258"," 0.000475"," 0.000313"," 0.000324"," 0.000719"," 0"," 1",0.000631," 95"," 0.042204"," 0.044978"," 0.000000"," 0.045015"," 10716"," 95"," yes"," 1"
Undefined,"-varorder static ",N/A," 0.001217"," 0.000463"," 0.000267"," 0.000271"," 0.000065"," 0"," 1",0.000563," 95"," 0.040582"," 0.042596"," 0.000000"," 0.042629"," 10716"," 95"," yes"," 1"
Undefined,"-varorder static -preprocess GAC ",N/A," 0.001305"," 0.000499"," 0.000316"," 0.000320"," 0.000085"," 0"," 1",0.000602," 95"," 0.039995"," 0.042202"," 0.000000"," 0.042227"," 10716"," 95"," yes"," 1"
Undefined,"-varorder static -preprocess SAC ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.000000," 95"," 0.039806"," 0.039804"," 0.003674"," 0.043529"," 10720"," 95"," yes"," 1"
Undefined,"-varorder static -preprocess SACBounds ",N/A," 0.001077"," 0.000490"," 0.000296"," 0.000301"," 0.000762"," 0"," 1",0.000662," 95"," 0.040645"," 0.043273"," 0.000000"," 0.043334"," 10720"," 95"," yes"," 1"
