,Options,"Using seed","Parsing Time","Setup Time","First Node Time","Initial Propagate","First node time",Sol,"Solution Number",Time,Nodes,"Solve Time","Total Time","Total System Time","Total Wall Time","Maximum RSS (kB)","Total Nodes","Problem solvable?","Solutions Found"
Undefined,,N/A," 0.001289"," 0.000501"," 0.000285"," 0.000290"," 0.000074"," 0"," 1",0.001440," 252"," 0.050210"," 0.052362"," 0.000000"," 0.052359"," 10580"," 252"," yes"," 1"
Undefined,"-preprocess GAC ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.001605," 252"," 0.039603"," 0.039601"," 0.003667"," 0.043334"," 10584"," 252"," yes"," 1"
Undefined,"-preprocess SAC ",N/A," 0.001095"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.000000," 252"," 0.040113"," 0.041206"," 0.004156"," 0.045375"," 10580"," 252"," yes"," 1"
Undefined,"-preprocess SACBounds ",N/A," 0.001139"," 0.000777"," 0.000302"," 0.000308"," 0.000522"," 0"," 1",0.001446," 252"," 0.041273"," 0.044016"," 0.000000"," 0.044071"," 10584"," 252"," yes"," 1"
Undefined,"-varorder sdf ",N/A," 0.001209"," 0.000536"," 0.000307"," 0.000312"," 0.000085"," 0"," 1",0.001517," 252"," 0.042458"," 0.044598"," 0.000000"," 0.044623"," 10580"," 252"," yes"," 1"
Undefined,"-varorder sdf -preprocess GAC ",N/A," 0.001076"," 0.000568"," 0.000424"," 0.000433"," 0.000075"," 0"," 1",0.001541," 252"," 0.042130"," 0.044280"," 0.000000"," 0.044303"," 10580"," 252"," yes"," 1"
Undefined,"-varorder sdf -preprocess SAC ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.001439," 252"," 0.042227"," 0.042225"," 0.003543"," 0.045766"," 10580"," 252"," yes"," 1"
Undefined,"-varorder sdf -preprocess SACBounds ",N/A," 0.001245"," 0.000468"," 0.000278"," 0.000282"," 0.000520"," 0"," 1",0.001395," 252"," 0.042666"," 0.045179"," 0.000000"," 0.045177"," 10584"," 252"," yes"," 1"
Undefined,"-varorder srf ",N/A," 0.001074"," 0.000521"," 0.000316"," 0.000323"," 0.000076"," 0"," 1",0.001550," 252"," 0.052255"," 0.054247"," 0.000000"," 0.054300"," 10584"," 252"," yes"," 1"
Undefined,"-varorder srf -preprocess GAC ",N/A," 0.001221"," 0.000603"," 0.000447"," 0.000455"," 0.000077"," 0"," 1",0.002222," 252"," 0.044256"," 0.046610"," 0.000000"," 0.046950"," 10580"," 252"," yes"," 1"
Undefined,"-varorder srf -preprocess SAC ",N/A," 0.001131"," 0.000602"," 0.000354"," 0.000361"," 0.000572"," 0"," 1",0.001531," 252"," 0.042933"," 0.045597"," 0.000000"," 0.045595"," 10584"," 252"," yes"," 1"
Undefined,"-varorder srf -preprocess SACBounds ",N/A," 0.001700"," 0.000712"," 0.000470"," 0.000483"," 0.000601"," 0"," 1",0.001720," 252"," 0.041937"," 0.045431"," 0.000000"," 0.045474"," 10580"," 252"," yes"," 1"
Undefined,"-varorder static ",N/A," 0.001266"," 0.000461"," 0.000280"," 0.000286"," 0.000067"," 0"," 1",0.001312," 252"," 0.041577"," 0.043654"," 0.000000"," 0.043672"," 10580"," 252"," yes"," 1"
Undefined,"-varorder static -preprocess GAC ",N/A," 0.001253"," 0.000484"," 0.000263"," 0.000268"," 0.000065"," 0"," 1",0.001763," 252"," 0.041862"," 0.043931"," 0.000000"," 0.043928"," 10580"," 252"," yes"," 1"
Undefined,"-varorder static -preprocess SAC ",N/A," 0.001295"," 0.000487"," 0.000306"," 0.000311"," 0.000543"," 0"," 1",0.001315," 252"," 0.041056"," 0.043690"," 0.000000"," 0.043688"," 10584"," 252"," yes"," 1"
Undefined,"-varorder static -preprocess SACBounds ",N/A," 0.001062"," 0.000479"," 0.000318"," 0.000328"," 0.000000"," 0"," 1",0.000000," 252"," 0.038706"," 0.040573"," 0.004083"," 0.044684"," 10580"," 252"," yes"," 1"
