,Options,"Using seed","Parsing Time","Setup Time","First Node Time","Initial Propagate","First node time",Sol,"Solution Number",Time,Nodes,"Solve Time","Total Time","Total System Time","Total Wall Time","Maximum RSS (kB)","Total Nodes","Problem solvable?","Solutions Found"
Undefined,,N/A," 0.001283"," 0.000532"," 0.000310"," 0.000316"," 0.000077"," 0"," 1",0.006764," 791"," 0.045841"," 0.048046"," 0.000000"," 0.048050"," 10716"," 791"," yes"," 1"
Undefined,"-preprocess GAC ",N/A," 0.001111"," 0.000450"," 0.000262"," 0.000266"," 0.000065"," 0"," 1",0.005024," 791"," 0.046513"," 0.048403"," 0.000000"," 0.048415"," 10720"," 791"," yes"," 1"
Undefined,"-preprocess SAC ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.006165," 791"," 0.043283"," 0.043281"," 0.003545"," 0.046825"," 10716"," 791"," yes"," 1"
Undefined,"-preprocess SACBounds ",N/A," 0.001956"," 0.000863"," 0.000500"," 0.000513"," 0.000810"," 0"," 1",0.005242," 791"," 0.044481"," 0.048621"," 0.000000"," 0.048618"," 10716"," 791"," yes"," 1"
Undefined,"-varorder sdf ",N/A," 0.001096"," 0.000509"," 0.000327"," 0.000332"," 0.000065"," 0"," 1",0.005881," 791"," 0.043143"," 0.045143"," 0.000000"," 0.045177"," 10716"," 791"," yes"," 1"
Undefined,"-varorder sdf -preprocess GAC ",N/A," 0.001292"," 0.000498"," 0.000315"," 0.000320"," 0.000083"," 0"," 1",0.005275," 791"," 0.044431"," 0.046622"," 0.000000"," 0.046656"," 10720"," 791"," yes"," 1"
Undefined,"-varorder sdf -preprocess SAC ",N/A," 0.001101"," 0.000484"," 0.000306"," 0.000311"," 0.000594"," 0"," 1",0.005367," 791"," 0.039519"," 0.042007"," 0.003843"," 0.045883"," 10720"," 791"," yes"," 1"
Undefined,"-varorder sdf -preprocess SACBounds ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.005269," 791"," 0.043195"," 0.043193"," 0.003545"," 0.046798"," 10716"," 791"," yes"," 1"
Undefined,"-varorder srf ",N/A," 0.001075"," 0.000485"," 0.000303"," 0.000307"," 0.000066"," 0"," 1",0.006047," 791"," 0.043880"," 0.045811"," 0.000000"," 0.045842"," 10716"," 791"," yes"," 1"
Undefined,"-varorder srf -preprocess GAC ",N/A," 0.001289"," 0.000516"," 0.000303"," 0.000308"," 0.000068"," 0"," 1",0.005781," 791"," 0.044968"," 0.047147"," 0.000000"," 0.047199"," 10716"," 791"," yes"," 1"
Undefined,"-varorder srf -preprocess SAC ",N/A," 0.001079"," 0.000484"," 0.000306"," 0.000311"," 0.000593"," 0"," 1",0.005944," 791"," 0.039605"," 0.042070"," 0.004233"," 0.046336"," 10720"," 791"," yes"," 1"
Undefined,"-varorder srf -preprocess SACBounds ",N/A," 0.001823"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.002638," 791"," 0.041324"," 0.043145"," 0.004814"," 0.047999"," 10720"," 791"," yes"," 1"
Undefined,"-varorder static ",N/A," 0.001159"," 0.000461"," 0.000267"," 0.000272"," 0.000067"," 0"," 1",0.005675," 791"," 0.044469"," 0.046427"," 0.000000"," 0.046425"," 10716"," 791"," yes"," 1"
Undefined,"-varorder static -preprocess GAC ",N/A," 0.001123"," 0.000465"," 0.000267"," 0.000272"," 0.000066"," 0"," 1",0.005223," 791"," 0.044996"," 0.046920"," 0.000000"," 0.046924"," 10720"," 791"," yes"," 1"
Undefined,"-varorder static -preprocess SAC ",N/A," 0.001078"," 0.000470"," 0.000272"," 0.000277"," 0.000571"," 0"," 1",0.006300," 791"," 0.050439"," 0.052833"," 0.000000"," 0.052831"," 10720"," 791"," yes"," 1"
Undefined,"-varorder static -preprocess SACBounds ",N/A," 0.001247"," 0.000464"," 0.000272"," 0.000278"," 0.000566"," 0"," 1",0.005095," 791"," 0.045997"," 0.048550"," 0.000000"," 0.048573"," 10716"," 791"," yes"," 1"
