,Options,"Using seed","Parsing Time","Setup Time","First Node Time","Initial Propagate","First node time",Sol,"Solution Number",Time,Nodes,"Solve Time","Total Time","Total System Time","Total Wall Time","Maximum RSS (kB)","Total Nodes","Problem solvable?","Solutions Found"
Undefined,,N/A," 0.001673"," 0.000545"," 0.000299"," 0.000304"," 0.000074"," 0"," 1",0.004539," 593"," 0.043989"," 0.046583"," 0.000000"," 0.046618"," 10716"," 593"," yes"," 1"
Undefined,"-preprocess GAC ",N/A," 0.001254"," 0.000471"," 0.000285"," 0.000290"," 0.000085"," 0"," 1",0.003751," 593"," 0.045976"," 0.048074"," 0.000000"," 0.048073"," 10716"," 593"," yes"," 1"
Undefined,"-preprocess SAC ",N/A," 0.001112"," 0.000529"," 0.000320"," 0.000325"," 0.000608"," 0"," 1",0.004399," 593"," 0.042673"," 0.045244"," 0.000000"," 0.045250"," 10716"," 593"," yes"," 1"
Undefined,"-preprocess SACBounds ",N/A," 0.001289"," 0.000528"," 0.000319"," 0.000327"," 0.000563"," 0"," 1",0.003764," 593"," 0.044733"," 0.047438"," 0.000000"," 0.047453"," 10716"," 593"," yes"," 1"
Undefined,"-varorder sdf ",N/A," 0.001206"," 0.000501"," 0.000319"," 0.000323"," 0.000085"," 0"," 1",0.004263," 593"," 0.038192"," 0.040305"," 0.004059"," 0.044371"," 10716"," 593"," yes"," 1"
Undefined,"-varorder sdf -preprocess GAC ",N/A," 0.001097"," 0.000460"," 0.000319"," 0.000328"," 0.000113"," 0"," 1",0.004092," 593"," 0.045414"," 0.047410"," 0.000000"," 0.047458"," 10720"," 593"," yes"," 1"
Undefined,"-varorder sdf -preprocess SAC ",N/A," 0.001105"," 0.000456"," 0.000281"," 0.000287"," 0.000560"," 0"," 1",0.004876," 593"," 0.044402"," 0.046808"," 0.000000"," 0.046806"," 10720"," 593"," yes"," 1"
Undefined,"-varorder sdf -preprocess SACBounds ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.003306," 593"," 0.042502"," 0.042499"," 0.003580"," 0.046079"," 10716"," 593"," yes"," 1"
Undefined,"-varorder srf ",N/A," 0.001102"," 0.000487"," 0.000308"," 0.000314"," 0.000068"," 0"," 1",0.004378," 593"," 0.035523"," 0.037492"," 0.008392"," 0.045898"," 10716"," 593"," yes"," 1"
Undefined,"-varorder srf -preprocess GAC ",N/A," 0.001215"," 0.000531"," 0.000277"," 0.000281"," 0.000069"," 0"," 1",0.004511," 593"," 0.044205"," 0.046300"," 0.000000"," 0.046298"," 10716"," 593"," yes"," 1"
Undefined,"-varorder srf -preprocess SAC ",N/A," 0.001101"," 0.000474"," 0.000299"," 0.000304"," 0.000571"," 0"," 1",0.004229," 593"," 0.039510"," 0.041958"," 0.003844"," 0.045816"," 10716"," 593"," yes"," 1"
Undefined,"-varorder srf -preprocess SACBounds ",N/A," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0"," 1",0.003458," 593"," 0.042779"," 0.042777"," 0.003595"," 0.046372"," 10720"," 593"," yes"," 1"
Undefined,"-varorder static ",N/A," 0.001099"," 0.000486"," 0.000308"," 0.000314"," 0.000071"," 0"," 1",0.003790," 593"," 0.043354"," 0.045322"," 0.000000"," 0.045327"," 10716"," 593"," yes"," 1"
Undefined,"-varorder static -preprocess GAC ",N/A," 0.001087"," 0.000496"," 0.000315"," 0.000319"," 0.000089"," 0"," 1",0.003770," 593"," 0.043907"," 0.045896"," 0.000000"," 0.045923"," 10716"," 593"," yes"," 1"
Undefined,"-varorder static -preprocess SAC ",N/A," 0.001117"," 0.000799"," 0.000393"," 0.000404"," 0.000693"," 0"," 1",0.003821," 593"," 0.042480"," 0.045491"," 0.000000"," 0.045501"," 10720"," 593"," yes"," 1"
Undefined,"-varorder static -preprocess SACBounds ",N/A," 0.001089"," 0.000528"," 0.000316"," 0.000320"," 0.000589"," 0"," 1",0.003822," 593"," 0.053818"," 0.056342"," 0.000000"," 0.056462"," 10720"," 593"," yes"," 1"
